"Page Name","URL Slug","Page Type","Target Keyword","H1","Meta Title","Meta Description","Status","Notes"
"Homepage","/","Homepage","Cleaning Services Darwin","Professional Cleaning Services in Darwin, Australia","Cleaning Services Darwin | Biraj Oli","Biraj Oli provides trusted residential, commercial, specialist, and emergency cleaning services across Darwin. Call +977-9748343015.","Planned","Primary hub linking to all major page types."
"About","/about","About","About Biraj Oli Cleaning Darwin","About Biraj Oli Cleaning Services","About Us | Biraj Oli Cleaning Darwin","Learn about Biraj Oli, our cleaning standards, service philosophy, and commitment to reliable outcomes across Darwin.","Planned","Trust and brand story page."
"Contact","/contact","Contact","Contact Cleaning Company Darwin","Contact Biraj Oli Cleaning in Darwin","Contact Us | Biraj Oli Cleaning Darwin","Get a free quote or book a cleaning service in Darwin. Call +977-9748343015 to speak with Biraj Oli.","Planned","Conversion-focused enquiry page."
"Blog","/blog","Blog","Cleaning Tips Darwin","Cleaning Tips, Guides and Insights","Cleaning Blog Darwin | Biraj Oli","Read practical cleaning tips, maintenance guides, and local advice for homes and businesses in Darwin.","Planned","Blog index page for informational content clusters."
"Regular / Routine House Cleaning in Darwin","/services/regular-routine-house-cleaning","Service","Regular / Routine House Cleaning Darwin","Regular / Routine House Cleaning in Darwin, Australia","Regular / Routine House Cleaning Darwin | Biraj Oli Cleaning","Book Regular / Routine House Cleaning in Darwin with Biraj Oli. Reliable, thorough service with flexible scheduling for homes and businesses.","Planned","Service detail page."
"Deep Cleaning in Darwin","/services/deep-cleaning","Service","Deep Cleaning Darwin","Deep Cleaning in Darwin, Australia","Deep Cleaning Darwin | Biraj Oli Cleaning","Book Deep Cleaning in Darwin with Biraj Oli. Reliable, thorough service with flexible scheduling for homes and businesses.","Planned","Service detail page."
"Spring Cleaning in Darwin","/services/spring-cleaning","Service","Spring Cleaning Darwin","Spring Cleaning in Darwin, Australia","Spring Cleaning Darwin | Biraj Oli Cleaning","Book Spring Cleaning in Darwin with Biraj Oli. Reliable, thorough service with flexible scheduling for homes and businesses.","Planned","Service detail page."
"One-off Cleaning in Darwin","/services/one-off-cleaning","Service","One-off Cleaning Darwin","One-off Cleaning in Darwin, Australia","One-off Cleaning Darwin | Biraj Oli Cleaning","Book One-off Cleaning in Darwin with Biraj Oli. Reliable, thorough service with flexible scheduling for homes and businesses.","Planned","Service detail page."
"Move-in Cleaning in Darwin","/services/move-in-cleaning","Service","Move-in Cleaning Darwin","Move-in Cleaning in Darwin, Australia","Move-in Cleaning Darwin | Biraj Oli Cleaning","Book Move-in Cleaning in Darwin with Biraj Oli. Reliable, thorough service with flexible scheduling for homes and businesses.","Planned","Service detail page."
"Move-out / Vacate Cleaning in Darwin","/services/move-out-vacate-cleaning","Service","Move-out / Vacate Cleaning Darwin","Move-out / Vacate Cleaning in Darwin, Australia","Move-out / Vacate Cleaning Darwin | Biraj Oli Cleaning","Book Move-out / Vacate Cleaning in Darwin with Biraj Oli. Reliable, thorough service with flexible scheduling for homes and businesses.","Planned","Service detail page."
